path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
website/docs/advanced/architecture.mdx,Architecture,2026-08-17T15:06:15.936883+00:00,False,261,1,1,1,3.83,1,False,1038,1038,1665,1665,feat(core): support TypeScript + ESM configuration (#9317),3,3,55.59,261.0,0.62
website/docs/advanced/client.mdx,Client architecture,2026-08-17T15:06:15.936883+00:00,False,907,4,3,9,9.92,6,False,947,163,1634,1627,fix(core): various broken anchor link fixes (#9732),9,3,53.52,226.75,0.58
website/docs/advanced/index.mdx,Advanced Tutorials,2026-08-17T15:06:15.936883+00:00,False,73,1,1,1,13.7,1,False,1326,1326,1665,1388,docs(website): use .mdx extension for every docs (#8490),3,2,,73.0,0.8
website/docs/advanced/plugins.mdx,Plugins,2026-08-17T15:06:15.936883+00:00,False,603,6,3,5,8.29,7,False,1032,163,1665,1663,docs: add Docusaurus v3.0 upgrade guide (#9417),8,4,51.6,100.5,0.62
website/docs/advanced/routing.mdx,Routing,2026-08-17T15:06:15.936883+00:00,False,1393,9,3,9,6.46,11,False,864,163,1665,1665,docs: Fix wrong path example (#10020),11,7,66.86,154.78,0.52
website/docs/advanced/ssg.mdx,Static site generation (SSG),2026-08-17T15:06:15.936883+00:00,False,1017,7,3,14,13.77,6,False,1067,163,1665,1663,"fix(theme): make warning a first-class admonition, and deprecate caution admonition (#9308)",7,2,51.83,145.29,0.64
website/docs/api/docusaurus.config.js.mdx,`docusaurus.config.js`,2026-08-17T15:06:15.936883+00:00,False,3002,40,5,40,13.32,17,False,38,38,2667,1491,feat(core): Add `siteConfig.markdown.hooks.onUnusedMarkdownDirectives` (#12204),103,34,65.67,75.05,0.01
website/docs/api/misc/create-docusaurus.mdx,📦 create-docusaurus,2026-08-17T15:06:15.936883+00:00,False,335,7,3,1,2.99,0,False,111,111,1565,1565,docs: add package-manager tabs for create-docusaurus (#11925),5,4,58.72,47.86,0.07
website/docs/api/misc/eslint-plugin/README.mdx,📦 eslint-plugin,2026-08-17T15:06:15.936883+00:00,False,311,10,3,5,16.08,4,False,93,93,1570,93,"break(eslint-plugin): Add ESLint flag configs, require ESLint `>= 8.57` (#12025)",9,6,46.4,31.1,0.06
website/docs/api/misc/eslint-plugin/no-html-links.mdx,no-html-links,2026-08-17T15:06:15.936883+00:00,False,96,3,2,4,41.67,1,False,1249,163,1341,1341,docs: prepare docs for MDX 2 (#8782),3,2,,32.0,0.93
