path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
content/en/docs/concepts/_index.md,Concepts,2026-08-19T07:42:44.190519+00:00,False,33,0,0,0,0.0,0,False,2248,2248,3616,2994,"Add descriptions to Concept sections
",50,26,,,0.62
content/en/docs/concepts/architecture/_index.md,"""Cluster Architecture""",2026-08-19T07:42:44.190519+00:00,False,1144,22,3,0,0.0,15,False,144,144,3027,725,"fix architecture page orphan link
",10,7,32.55,52.0,0.05
content/en/docs/concepts/architecture/cgroups.md,About cgroup v2,2026-08-19T07:42:44.190519+00:00,False,841,8,3,1,1.19,7,False,54,54,1491,1471,"cgroupv2 node.js update
",11,8,48.17,105.12,0.04
content/en/docs/concepts/architecture/cloud-controller.md,Cloud Controller Manager,2026-08-19T07:42:44.190519+00:00,False,704,11,3,1,1.42,3,False,80,80,3218,2345,"Add theme_lock front matter to concepts overview pages
",50,40,31.97,64.0,0.02
content/en/docs/concepts/architecture/control-plane-node-communication.md,Communication between Nodes and the Control Plane,2026-08-19T07:42:44.190519+00:00,False,846,7,3,0,0.0,14,False,717,717,3822,1579,"Fix broken links from ""overview/components/#..."" to ""architecture/#..."" (#47724)
",58,39,47.48,120.86,0.19
content/en/docs/concepts/architecture/controller.md,Controllers,2026-08-19T07:42:44.190519+00:00,False,1034,7,3,0,0.0,6,False,717,717,2512,2512,"Fix broken links from ""overview/components/#..."" to ""architecture/#..."" (#47724)
",22,15,59.04,147.71,0.29
content/en/docs/concepts/architecture/garbage-collection.md,Garbage Collection,2026-08-19T07:42:44.190519+00:00,False,1278,11,4,0,0.0,19,False,302,302,1867,1867,"4210: mark as stable
",26,22,38.21,116.18,0.16
content/en/docs/concepts/architecture/leases.md,Leases,2026-08-19T07:42:44.190519+00:00,False,614,5,3,4,6.51,4,False,140,140,1358,1288,"Add docs for KEP-5366 ControllerManagerReleaseLeaderElectionLockOnExit feature gate
",12,9,48.31,122.8,0.1
content/en/docs/concepts/architecture/mixed-version-proxy.md,Mixed Version Proxy,2026-08-19T07:42:44.190519+00:00,False,813,6,3,2,2.46,5,False,174,174,1122,1099,"Doc update about MVP graduation to beta in 1.36
",8,4,33.82,135.5,0.16
content/en/docs/concepts/architecture/nodes.md,Nodes,2026-08-19T07:42:44.190519+00:00,False,1850,11,3,3,1.62,27,False,93,93,3828,2474,"docs: use glossary tooltip shortcode for containers on Nodes page
",183,122,59.2,168.18,0.02
content/en/docs/concepts/architecture/self-healing.md,Kubernetes Self-Healing,2026-08-19T07:42:44.190519+00:00,False,280,3,2,0,0.0,10,False,271,271,512,512,"Fix formatting
",7,4,30.99,93.33,0.53
content/en/docs/concepts/cluster-administration/_index.md,Cluster Administration,2026-08-19T07:42:44.190519+00:00,False,450,5,3,0,0.0,21,False,561,561,3027,1550,"Add a new page for mutating webhook good practices.
",20,11,37.0,90.0,0.19
content/en/docs/concepts/cluster-administration/addons.md,Installing Addons,2026-08-19T07:42:44.190519+00:00,False,818,6,2,0,0.0,5,False,127,127,3624,1209,"fix(links): update kubernetes/community links from master to main
",86,66,34.13,136.33,0.04
content/en/docs/concepts/cluster-administration/admission-webhooks-good-practices.md,Admission Webhook Good Practices,2026-08-19T07:42:44.190519+00:00,False,3830,37,3,2,0.52,23,False,333,333,561,561,"fix: typos
",6,2,37.65,103.51,0.59
content/en/docs/concepts/cluster-administration/certificates.md,Certificates,2026-08-19T07:42:44.190519+00:00,False,11,0,0,0,0.0,1,False,2040,2040,3224,3224,"Migrate https://kubernetes.io/docs/concepts/cluster-administration/certificates/ to tasks section
",22,21,,,0.63
content/en/docs/concepts/cluster-administration/compatibility-version.md,Compatibility Version For Kubernetes Control Plane Components,2026-08-19T07:42:44.190519+00:00,False,161,1,2,0,0.0,0,False,651,651,746,746,"remove min-compat-version
",2,2,23.97,161.0,0.87
content/en/docs/concepts/cluster-administration/coordinated-leader-election.md,Coordinated Leader Election,2026-08-19T07:42:44.190519+00:00,False,588,3,2,0,0.0,11,False,162,162,763,165,"Lease API
",14,3,37.01,196.0,0.21
content/en/docs/concepts/cluster-administration/dra.md,Good practices for Dynamic Resource Allocation as a Cluster Admin,2026-08-19T07:42:44.190519+00:00,False,1268,11,3,0,0.0,3,False,127,127,386,386,"fix(links): update kubernetes/community links from master to main
",10,3,33.88,115.27,0.33
content/en/docs/concepts/cluster-administration/flow-control.md,API Priority and Fairness,2026-08-19T07:42:44.190519+00:00,False,5819,26,4,1,0.17,4,False,127,127,2337,1671,"fix(links): update kubernetes/community links from master to main
",68,32,39.22,223.81,0.05
content/en/docs/concepts/cluster-administration/kube-state-metrics.md,Metrics for Kubernetes Object States,2026-08-19T07:42:44.190519+00:00,False,279,2,2,2,7.17,0,False,890,890,890,890,"Add section about kube-state-metrics
",1,1,42.13,139.5,1.0
content/en/docs/concepts/cluster-administration/logging.md,Logging Architecture,2026-08-19T07:42:44.190519+00:00,False,2221,13,4,11,4.95,13,False,670,670,3513,1550,"doc: document the usage of the PodLogsQuerySplitStreams feature
",68,48,51.32,170.85,0.19
content/en/docs/concepts/cluster-administration/networking.md,Cluster Networking,2026-08-19T07:42:44.190519+00:00,False,542,4,2,0,0.0,4,False,296,296,3842,1052,"Update content/en/docs/concepts/cluster-administration/networking.md
",134,87,31.2,135.5,0.08
content/en/docs/concepts/cluster-administration/node-autoscaling.md,Node Autoscaling,2026-08-19T07:42:44.190519+00:00,False,1831,17,4,0,0.0,8,False,65,65,862,862,"Fix typos in manual documentation pages
",3,3,29.6,107.71,0.08
content/en/docs/concepts/cluster-administration/node-shutdown.md,Node Shutdowns,2026-08-19T07:42:44.190519+00:00,False,1910,7,3,2,1.05,16,False,158,158,846,846,"Add unattended-upgrades conflict warning to node shutdown docs
",8,7,52.42,272.86,0.19
content/en/docs/concepts/cluster-administration/observability.md,Observability,2026-08-19T07:42:44.190519+00:00,False,1051,11,4,0,0.0,20,False,330,330,330,330,"docs: add observability overview page
",1,1,31.62,95.55,1.0
content/en/docs/concepts/cluster-administration/proxies.md,Proxies in Kubernetes,2026-08-19T07:42:44.190519+00:00,False,315,2,2,0,0.0,3,False,1394,1394,3382,3382,"KubeCon Docs Sprint: Update page weights for content/en/docs/concepts/cluster-administration.
",13,12,44.41,157.5,0.41
content/en/docs/concepts/cluster-administration/swap-memory-management.md,Swap memory management,2026-08-19T07:42:44.190519+00:00,False,2706,23,3,9,3.33,10,False,71,71,425,425,"Fix incorrect on disk in swap LimitedSwap section
",7,5,45.83,117.65,0.17
content/en/docs/concepts/cluster-administration/system-logs.md,System Logs,2026-08-19T07:42:44.190519+00:00,False,1454,9,3,11,7.57,5,False,127,127,2276,1609,"fix(links): update kubernetes/community links from master to main
",19,12,52.59,161.56,0.06
content/en/docs/concepts/cluster-administration/system-metrics.md,Metrics For Kubernetes System Components,2026-08-19T07:42:44.190519+00:00,False,1708,11,4,10,5.85,5,False,133,133,2384,1410,"polish and added example per feedback
",40,24,50.4,155.27,0.06
content/en/docs/concepts/cluster-administration/system-traces.md,Traces For Kubernetes System Components,2026-08-19T07:42:44.190519+00:00,False,645,8,4,3,4.65,1,False,412,412,1855,1848,"KEP-2831: kubelet tracing GA in 1.34
",19,12,34.01,80.62,0.22
content/en/docs/concepts/configuration/_index.md,"""Configuration""",2026-08-19T07:42:44.190519+00:00,False,0,0,0,0,0.0,0,False,2248,1889,3027,3027,"Add descriptions to Concept sections
",3,3,,,0.74
content/en/docs/concepts/configuration/configmap.md,ConfigMaps,2026-08-19T07:42:44.190519+00:00,False,1594,9,4,9,5.65,7,False,271,271,2326,2248,"Fix formatting of kubectl logs command
",47,31,57.07,177.11,0.12
content/en/docs/concepts/configuration/manage-resources-containers.md,Resource Management for Pods and Containers,2026-08-19T07:42:44.190519+00:00,False,3936,32,5,11,2.79,37,False,56,56,3459,1840,"Fix incorrect ValidatingAdmissionPolicy reference
",146,104,50.47,123.0,0.02
content/en/docs/concepts/configuration/organize-cluster-access-kubeconfig.md,Organizing Cluster Access Using kubeconfig Files,2026-08-19T07:42:44.190519+00:00,False,897,7,2,3,3.34,5,False,1588,1588,3283,3283,"Docs fix for kubectl proxy configuration
",16,15,55.45,128.14,0.48
content/en/docs/concepts/configuration/secret.md,Secrets,2026-08-19T07:42:44.190519+00:00,False,4157,31,5,7,1.68,41,False,26,26,3828,1422,"Replace code with code_sample shortcode
",218,137,50.91,134.1,0.01
content/en/docs/concepts/configuration/windows-resource-management.md,Resource Management for Windows nodes,2026-08-19T07:42:44.190519+00:00,False,494,3,2,0,0.0,1,False,1534,1534,1638,1638,"Updating Windows intro and resource management pages (#34083)
",2,1,45.79,164.67,0.94
content/en/docs/concepts/containers/_index.md,Containers,2026-08-19T07:42:44.190519+00:00,False,271,2,2,0,0.0,3,False,675,675,3027,2248,"Update _index.md
",14,8,43.61,135.5,0.22
content/en/docs/concepts/containers/container-environment.md,Container Environment,2026-08-19T07:42:44.190519+00:00,False,228,4,3,1,4.39,5,False,261,261,3402,3402,"Clarify Service-to-Pod wording and normalize DNS addon spelling
",26,19,31.35,57.0,0.08
content/en/docs/concepts/containers/container-lifecycle-hooks.md,Container Lifecycle Hooks,2026-08-19T07:42:44.190519+00:00,False,901,7,3,1,1.11,5,False,181,181,3828,3402,"Fix some links in the En docs
",69,45,52.14,128.71,0.05
content/en/docs/concepts/containers/cri.md,Container Runtime Interface (CRI),2026-08-19T07:42:44.190519+00:00,False,345,4,2,0,0.0,1,False,187,187,1729,532,"Add documentation for CRIListStreaming feature gate
",9,7,51.48,86.25,0.11
content/en/docs/concepts/containers/images.md,Images,2026-08-19T07:42:44.190519+00:00,False,3669,23,4,4,1.09,17,False,185,185,3842,1253,"Fix misleading imagePullPolicy: Always description
",136,90,49.03,159.52,0.05
content/en/docs/concepts/containers/runtime-class.md,Runtime Class,2026-08-19T07:42:44.190519+00:00,False,731,11,4,4,5.47,8,False,97,97,2882,2631,"update api-reference and ref shortcode callers for new URL structure
",44,29,41.5,66.45,0.03
content/en/docs/concepts/extend-kubernetes/_index.md,Extending Kubernetes,2026-08-19T07:42:44.190519+00:00,False,1939,23,4,0,0.0,42,False,127,127,3016,1510,"fix(links): update kubernetes/community links from master to main
",28,17,42.31,84.3,0.04
content/en/docs/concepts/extend-kubernetes/api-extension/_index.md,Extending the Kubernetes API,2026-08-19T07:42:44.190519+00:00,False,142,0,0,0,0.0,2,False,144,144,3016,1062,"remove duplicate links
",10,5,47.55,,0.05
content/en/docs/concepts/extend-kubernetes/api-extension/apiserver-aggregation.md,Kubernetes API Aggregation Layer,2026-08-19T07:42:44.190519+00:00,False,307,3,3,0,0.0,6,False,181,181,3340,2271,"Fix some links in the En docs
",21,14,40.3,102.33,0.05
content/en/docs/concepts/extend-kubernetes/api-extension/custom-resources.md,Custom Resources,2026-08-19T07:42:44.190519+00:00,False,3000,20,3,2,0.67,26,False,298,298,3344,2393,"Add SVM beta docs
",81,56,49.24,150.0,0.09
content/en/docs/concepts/extend-kubernetes/compute-storage-net/_index.md,"Compute, Storage, and Networking Extensions",2026-08-19T07:42:44.190519+00:00,False,243,0,0,0,0.0,5,False,127,127,3016,1510,"fix(links): update kubernetes/community links from master to main
",4,4,48.44,,0.04
content/en/docs/concepts/extend-kubernetes/compute-storage-net/device-plugins.md,Device Plugins,2026-08-19T07:42:44.190519+00:00,False,2307,14,3,9,3.9,14,False,120,120,3246,1916,"Clarify hardcoded device plugins path in documentation
",106,71,42.62,164.79,0.04
content/en/docs/concepts/extend-kubernetes/compute-storage-net/network-plugins.md,Network Plugins,2026-08-19T07:42:44.190519+00:00,False,479,6,3,3,6.26,6,False,749,749,3822,2920,"Update content/en/docs/concepts/extend-kubernetes/compute-storage-net/network-plugins.md
",76,44,45.52,79.83,0.2
content/en/docs/concepts/extend-kubernetes/operator.md,Operator pattern,2026-08-19T07:42:44.190519+00:00,False,812,7,2,1,1.23,5,False,398,398,2595,2595,"docs(operators): update URI to KubeOps
",36,26,39.57,116.0,0.15
content/en/docs/concepts/overview/_index.md,"""Overview""",2026-08-19T07:42:44.190519+00:00,False,1412,4,2,0,0.0,6,False,80,80,3027,1363,"Add theme_lock front matter to concepts overview pages
",21,14,31.92,353.0,0.03
content/en/docs/concepts/overview/components.md,Kubernetes Components,2026-08-19T07:42:44.190519+00:00,False,291,5,3,0,0.0,14,False,80,80,3828,725,"Add theme_lock front matter to concepts overview pages
",92,60,35.87,58.2,0.02
content/en/docs/concepts/overview/kubectl.md,The kubectl command-line tool,2026-08-19T07:42:44.190519+00:00,False,594,7,2,0,0.0,19,False,170,170,170,170,"cross-link from related pages and remove thirdparty shortcode
",2,1,49.87,84.86,1.0
content/en/docs/concepts/overview/kubernetes-api.md,The Kubernetes API,2026-08-19T07:42:44.190519+00:00,False,1629,12,3,2,1.23,12,False,588,588,3828,1595,"Fix feature gate name conflicts (2/2)
",112,61,40.99,135.75,0.15
content/en/docs/concepts/overview/working-with-objects/_index.md,Objects In Kubernetes,2026-08-19T07:42:44.190519+00:00,False,1067,6,3,2,1.87,17,False,267,267,3027,1683,"Migrate K8s Configuration Good Practices to blog
",18,7,46.43,177.83,0.09
content/en/docs/concepts/overview/working-with-objects/annotations.md,Annotations,2026-08-19T07:42:44.190519+00:00,False,577,3,2,2,3.47,2,False,54,54,3616,3046,"docs: apply reviewer suggestions - KiB unit, bold all, add CBOR note
",26,20,41.64,192.33,0.01
content/en/docs/concepts/overview/working-with-objects/common-labels.md,Recommended Labels,2026-08-19T07:42:44.190519+00:00,False,570,5,3,7,12.28,0,False,846,846,2962,2962,"Update common-labels.md
",15,14,48.38,114.0,0.29
content/en/docs/concepts/overview/working-with-objects/field-selectors.md,Field Selectors,2026-08-19T07:42:44.190519+00:00,False,343,6,3,6,17.49,4,False,118,118,2953,2953,"Add service field selectors
",20,15,54.54,57.17,0.04
content/en/docs/concepts/overview/working-with-objects/finalizers.md,Finalizers,2026-08-19T07:42:44.190519+00:00,False,674,3,2,0,0.0,2,False,478,478,1867,1867,"Clarify that custom finalizers names must be publicly qualified finalizer names
",14,10,42.66,224.67,0.26
content/en/docs/concepts/overview/working-with-objects/labels.md,Labels and Selectors,2026-08-19T07:42:44.190519+00:00,False,1582,14,4,23,14.54,19,False,157,157,3842,1296,"docs: address review feedback on labels example
",82,48,46.11,113.0,0.04
content/en/docs/concepts/overview/working-with-objects/names.md,Object Names and IDs,2026-08-19T07:42:44.190519+00:00,False,638,7,3,1,1.57,6,False,203,203,3842,2372,"docs: clarify object identity uniqueness and NodeRestriction label constraints
",54,33,53.96,91.14,0.05
content/en/docs/concepts/overview/working-with-objects/namespaces.md,Namespaces,2026-08-19T07:42:44.190519+00:00,False,670,10,3,5,7.46,12,False,242,242,3828,2614,"Update namespace docs
",80,55,53.85,67.0,0.06
content/en/docs/concepts/overview/working-with-objects/object-management.md,Kubernetes Object Management,2026-08-19T07:42:44.190519+00:00,False,823,11,3,6,7.29,7,False,1683,1683,3500,3497,"Reorganize Working with Kubernetes Objects section
",33,20,24.99,74.82,0.48
content/en/docs/concepts/overview/working-with-objects/owners-dependents.md,Owners and Dependents,2026-08-19T07:42:44.190519+00:00,False,614,3,2,0,0.0,8,False,1683,1683,1867,1867,"Reorganize Working with Kubernetes Objects section
",6,4,43.3,204.67,0.9
content/en/docs/concepts/overview/working-with-objects/storage-version.md,Storage Versions,2026-08-19T07:42:44.190519+00:00,False,1037,4,2,1,0.96,4,False,135,135,298,298,"Fix typos in docs: limtations, storege, Althought
",3,3,50.58,259.25,0.45
content/en/docs/concepts/policy/_index.md,"""Policies""",2026-08-19T07:42:44.190519+00:00,False,412,6,3,0,0.0,9,False,968,968,3027,1179,"fix typos
",7,5,15.13,68.67,0.32
content/en/docs/concepts/policy/limit-range.md,Limit Ranges,2026-08-19T07:42:44.190519+00:00,False,838,4,2,1,1.19,9,False,226,226,2660,1408,"Update limit-range.md
",37,27,44.17,209.5,0.08
content/en/docs/concepts/policy/pid-limiting.md,Process ID Limits And Reservations,2026-08-19T07:42:44.190519+00:00,False,806,4,2,0,0.0,6,False,607,607,2161,2161,"Update pid-limiting.md
",7,5,55.09,201.5,0.28
content/en/docs/concepts/policy/resource-quotas.md,Resource Quotas,2026-08-19T07:42:44.190519+00:00,False,3354,24,5,30,8.94,35,False,271,271,3842,481,"Remove extra brackets from quota
",126,76,50.21,139.75,0.07
content/en/docs/concepts/scheduling-eviction/_index.md,"""Scheduling, Preemption and Eviction""",2026-08-19T07:42:44.190519+00:00,False,124,2,2,0,0.0,18,False,173,173,2324,1940,"KEP-5710: Update scheduler docs for workload aware preemption
",16,12,,62.0,0.07
content/en/docs/concepts/scheduling-eviction/api-eviction.md,API-initiated Eviction,2026-08-19T07:42:44.190519+00:00,False,570,4,2,3,5.26,7,False,496,496,1940,1901,"Update docs for deprecation of Endpoints API (#49831)
",6,4,51.99,142.5,0.26
content/en/docs/concepts/scheduling-eviction/assign-pod-node.md,Assigning Pods to Nodes,2026-08-19T07:42:44.190519+00:00,False,3694,22,4,8,2.17,25,False,190,190,3842,1831,"revert: restore original descriptions for Gt and Lt operators
",188,115,52.79,167.91,0.05
content/en/docs/concepts/scheduling-eviction/dynamic-resource-allocation.md,Dynamic Resource Allocation,2026-08-19T07:42:44.190519+00:00,False,8192,47,5,26,3.17,36,False,97,97,1365,185,"update api-reference and ref shortcode callers for new URL structure
",72,34,40.63,174.3,0.07
content/en/docs/concepts/scheduling-eviction/gang-scheduling.md,Gang Scheduling,2026-08-19T07:42:44.190519+00:00,False,299,2,2,0,0.0,9,False,131,131,273,273,"Address feedback
",6,3,62.02,149.5,0.48
content/en/docs/concepts/scheduling-eviction/kube-scheduler.md,Kubernetes Scheduler,2026-08-19T07:42:44.190519+00:00,False,602,4,3,0,0.0,13,False,914,914,2597,2597,"Fix spelling mistake in kube scheduler
",30,21,45.9,150.5,0.35
content/en/docs/concepts/scheduling-eviction/node-declared-features.md,Node Declared Features,2026-08-19T07:42:44.190519+00:00,False,306,3,2,0,0.0,2,False,300,300,300,300,"Docs update for Node Declared Features (KEP-5328) alpha
",1,1,48.36,102.0,1.0
content/en/docs/concepts/scheduling-eviction/node-pressure-eviction.md,Node-pressure Eviction,2026-08-19T07:42:44.190519+00:00,False,3552,30,4,2,0.56,18,False,28,28,1940,1709,"revert PR 56329 which should have targeted the dev-1.37 branch
",34,25,51.57,118.4,0.01
